id,name,city,state,location
1,Magic Kingdom Park,Bay Lake,FL,0101000020E6100000053411363C6554C097900F7A366B3C40
2,Disney's Animal Kingdom Theme Park,Bay Lake,FL,0101000020E61000002041F163CC6554C02497FF907E5B3C40
3,Disney's Hollywood Studios,Bay Lake,FL,0101000020E610000064CC5D4BC86354C096B20C71AC5B3C40
4,Epcot,Bay Lake,FL,0101000020E6100000091B9E5E296354C0AAF1D24D62603C40
5,Universal Studios Florida,Orlando,FL,0101000020E6100000448B6CE7FB5D54C0D0B359F5B97A3C40
6,Universal Islands of Adventure,Orlando,FL,0101000020E610000012A5BDC1175E54C0F085C954C1783C40
7,Universal Epic Universe,Orlando,FL,0101000020E610000038F8C264AA5C54C0A913D044D8703C40
8,Busch Gardens Tampa Bay,Tampa,FL,0101000020E6100000022B8716D99A54C07DAEB6627F093C40
9,SeaWorld Orlando,Orlando,FL,0101000020E6100000933A014D845D54C0F0A7C64B37693C40
10,LEGOLAND Florida Resort,Winter Haven,FL,0101000020E6100000151DC9E53F6C54C0764F1E166AFD3B40
11,Fun Spot America (Orlando),Orlando,FL,0101000020E61000003D0AD7A3705D54C0B81E85EB51783C40
12,ICON Park,Orlando,FL,0101000020E6100000D200DE02095E54C05396218E75713C40
13,Fun Spot America Theme Parks (Kissimee),Kissimmee,FL,0101000020E6100000BE9F1A2FDD6054C0508D976E12533C40
14,Universal Volcano Bay,Orlando,FL,0101000020E610000075029A081B5E54C0F0A7C64B37793C40
15,Disney's Blizzard Beach Water Park,Bay Lake,FL,0101000020E610000061C5A9D6C26454C0FF791A30485A3C40
16,Disney's Typhoon Lagoon Water Park,Lake Buena Vista,FL,0101000020E61000000BB5A679C76154C03D0AD7A3705D3C40
17,Universal Studios Hollywood,Universal City,CA,0101000020E61000007F87A2409F965DC02BFC19DEAC114140
18,Disneyland Park,Anaheim,CA,0101000020E6100000C573B680D07A5DC0F451465C00E84040
19,Disney California Adventure Park,Anaheim,CA,0101000020E610000087DC0C37E07A5DC01D90847D3BE74040
20,California's Great America,Santa Clara,CA,0101000020E6100000A60A4625757E5EC06C787AA52CB34240
21,Six Flags Discovery Kingdom,Vallejo,CA,0101000020E6100000098A1F63EE8E5EC06EA301BC05124340
22,Knott's Berry Farm,Buena Park,CA,0101000020E6100000C05B2041F17F5DC0A301BC0512EC4040
23,LEGOLAND California,Carlsbad,CA,0101000020E6100000ABCFD556EC535DC00EBE30992A904040
24,Six Flags Magic Mountain,Valencia,CA,0101000020E6100000BC0512143FA65DC0AED85F764F364140
25,Belmont Park,San Diego,CA,0101000020E61000006ABC749318505DC017D9CEF753634040
26,Santa Cruz Beach Boardwalk,Santa Cruz,CA,0101000020E61000007E1D386744815EC088635DDC467B4240
27,Adventure City,Anaheim,CA,0101000020E6100000EC51B81E857F5DC0E3361AC05BE84040
28,SeaWorld San Diego,San Diego,CA,0101000020E61000006DC5FEB27B4E5DC0D26F5F07CE614040
29,Hurricane Harbor Concord,Concord,CA,0101000020E6100000ECC039234A835EC0226C787AA5FC4240
30,Hurrican Habor Phoneix,Glendale,AZ,0101000020E6100000AF25E4839E095CC0A9A44E4013D94040
31,Castles N' Coasters,Phoenix,AZ,0101000020E6100000F2B0506B9A075CC01AC05B2041C94040
32,Enchanted Island Amusement Park,Phoenix,AZ,0101000020E6100000F6285C8FC2055CC0EA95B20C71BC4040
33,Frontier City,Oklahoma City,OK,0101000020E61000004E621058395C58C0B459F5B9DACA4140
34,Hurricane Harbor Oklahoma City,Oklahoma City,OK,0101000020E61000008B6CE7FBA96558C0EC2FBB270FBB4140
35,Six Flags Over Texas,Arlington,TX,0101000020E6100000780B24287E4458C029CB10C7BA604040
36,Six Flags Fiesta Texas,San Antonio,TX,0101000020E6100000AC8BDB6800A758C0B6F3FDD478993D40
37,SeaWorld San Antonio,San Antonio,TX,0101000020E6100000CDCCCCCCCCAC58C068226C787A753D40
38,Hurrican Harbor Splashtown,Spring,TX,0101000020E61000001DC9E53FA4DB57C0E02D90A0F8113E40
39,Six Flags Great America,Lake County,IL,0101000020E61000007958A835CDFB55C0D7A3703D0A2F4540
40,Cedar Point,Sandusky,OH,0101000020E610000039B4C876BEAB54C0CB10C7BAB8BD4440
41,Kings Island,Mason,OH,0101000020E6100000B7627FD93D1155C0075F984C15AC4340
42,Kings Dominion,Doswell,VA,0101000020E6100000E3361AC05B5C53C0CF66D5E76AEB4240
43,Six Flags Over Georgia,Marietta,GA,0101000020E6100000E561A1D6342355C06D567DAEB6E24040
44,Carowinds,Charlotte,NC/SC,0101000020E6100000234A7B832F3C54C0E8D9ACFA5C8D4140
45,Great Escape,Queensbury,NY,0101000020E610000095D40968226C52C0772D211FF4AC4540
46,Six Flags Darien Lake,Corfu,NY,0101000020E61000005BB1BFEC9E9853C09FCDAACFD5764540
47,Dorney Park,Allentown,PA,0101000020E61000007C61325530E252C0A7E8482EFF494440
48,Hershey Park,Hershey,PA,0101000020E6100000EE5A423EE82953C0DB8AFD65F7244440
49,Six Flags New England,Agawam,MA,0101000020E6100000508D976E122752C04D158C4AEA044540
50,Six Flags Great Adventure,Jackson,NJ,0101000020E6100000C0EC9E3C2C9C52C019E25817B7114440
51,Busch Gardens Williamsburg,Williamsburg,VA,0101000020E6100000BEC11726532953C06744696FF09D4240
52,Canobie Lake Park,Salem,NH,0101000020E6100000006F8104C5CF51C0E86A2BF697654540
53,Dollywood,Pigeon Forge,TN,0101000020E6100000A7E8482EFFE154C0598638D6C5E54140
54,Silver Dollar City,Branson,MO,0101000020E6100000EFC9C342AD5557C0A167B3EA73554240
55,Lagoon Amusement Park,Farmington,UT,0101000020E6100000053411363CF95BC02E90A0F8317E4440
56,Holiday World & Splashin' Safari,Santa Claus,IN,0101000020E6100000F5DBD78173BA55C08195438B6C0F4340
57,Knoebels Amusement Resort,Elysburg,PA,0101000020E6100000B81E85EB512053C0386744696F704440
58,Kennywood,West Mifflin,PA,0101000020E61000005E4BC8073DF753C0FE65F7E461314440
59,Seabreeze Amusement Park,Irondequoit,NY,0101000020E6100000F46C567DAE6253C0CB10C7BAB89D4540
60,Santa's Village,Jefferson,NH,0101000020E61000009C33A2B437E051C02497FF907E334640
61,Story Land,Glen,NH,0101000020E6100000CE88D2DEE0CB51C01895D40968124640
62,Six Flags St. Louis (Recently sold),Eureka,MO,0101000020E61000003333333333AB56C0B6847CD0B3414340
63,Worlds of Fun,Kansas City,MO,0101000020E61000004F1E166A4D9F57C0D881734694964340
64,Valleyfair,Shakopee,MN,0101000020E6100000228E75711B5D57C02063EE5A42664640
65,Michigan's Adventure,Muskegon,MI,0101000020E6100000E10B93A9829155C0DC4603780BAC4540
66,Kentucky Kingdom & Hurricane Bay,Louisville,KY,0101000020E610000032E6AE25E46F55C08C4AEA0434194340
67,Lake Compounce,Bristol,CT,0101000020E6100000A5BDC117263B52C00AD7A3703DD24440
68,Silverwood,Kootenai County,ID,0101000020E6100000E10B93A9822D5DC0DDB5847CD0F34740
69,Adventureland Park,Altoona,IA,0101000020E610000029CB10C7BA6057C04F1E166A4DD34440
70,Nickelodeon Universe Theme Park,East Rutherford,NJ,0101000020E6100000986E1283C08252C06ABC749318644440
71,Lost Island Themepark,Waterloo,IA,0101000020E6100000B84082E2C71457C0ED0DBE30993A4540
72,Nickelodeon Universe,Bloomington,MN,0101000020E6100000D6C56D34804F57C0764F1E166A6D4640
73,Mattel Adventure Park,Glendale,AZ,0101000020E6100000F085C954C1105CC0DDB5847CD0C34040
74,Elitch Gardens,Denver,CO,0101000020E6100000226C787AA5405AC0C7BAB88D06E04340
75,Fun Spot America Theme Parks — Atlanta,Fayetteville,GA,0101000020E6100000B003E78C281D55C086C954C1A8BC4040
76,Quassy Amusement & Waterpark,Middlebury,CT,0101000020E61000003411363CBD4A52C05DFE43FAEDC34440
77,Morey's Piers & Beachfront Water Parks,Wildwood,NJ,0101000020E6100000C1CAA145B6B352C0029A081B9E7E4340
78,Mt. Olympus - Water & Theme Park Resort,Wisconsin Dells,WI,0101000020E6100000910F7A36AB7256C0F2B0506B9ACF4540
79,Glenwood Caverns Adventure Park,Glenwood Springs,CO,0101000020E6100000FFB27BF2B0D45AC0AB3E575BB1C74340
80,Kemah Boardwalk,Kemah,TX,0101000020E6100000A835CD3B4EC157C0234A7B832F8C3D40
81,Dutch Wonderland® Family Amusement Park,Lancaster,PA,0101000020E6100000C364AA60540E53C03FC6DCB584044440
82,Sesame Place Philadelphia,Langhorne,PA,0101000020E61000007958A835CDB752C08104C58F31174440
83,Funtown Splashtown USA,Saco,ME,0101000020E6100000889D29745E9B51C0736891ED7CC34540
84,Palace Playland,Old Orchard Beach,ME,0101000020E61000002753605C059851C0AF0C05C7C0C14540
